"","lon","lat"
"AJDOVŠČINA",13.909914,45.8869025
"ANKARAN",13.7362855,45.5791436
"APAČE",15.90981,46.6975886
"BELTINCI",16.2365127,46.6079153
"BENEDIKT",15.8896942,46.6075732
"BISTRICA-OB-SOTLI",15.6625947,46.0565579
"BLED",14.1145798,46.3683266
"BLOKE",14.5063459,45.7728141
"BOHINJ",13.9427195,46.3005652
"BOROVNICA",14.3640682,45.9193034
"BOVEC",13.551683,46.3376387
"BRASLOVČE",15.0397466,46.2880914
"BRDA",15.1439794,46.4716586
"BREZOVICA",15.2412372,45.872713
"BREŽICE",15.5964652,45.9088102
"CANKOVA",16.0197222,46.718237
"CELJE",15.2677063,46.2397495
"CELJU",15.2677063,46.2397495
"CERKLJE-NA-GORENJSKEM",14.4868829,46.2531292
"CERKNICA",14.3621843,45.7955099
"CERKNO",13.9891931,46.128954
"CERKVENJAK",15.9429753,46.5670711
"CIRKULANE",15.9951112,46.3443632
"DESTRNIK",15.8777956,46.4922368
"DIVAČA",13.9697218,45.6829132
"DOBJE",15.394129,46.1370037
"DOBREPOLJE",14.7083109,45.8524951
"DOBRNA",15.2259732,46.3356141
"DOBROVA-POLHOV-GRADEC",14.3168195,46.0648896
"DOBROVNIK",16.3429113,46.6516758
"DOL-PRI-LJUBLJANI",14.6424792,46.0884386
"DOLENJSKE-TOPLICE",15.0592333,45.7558584
"DOMŽALE",14.5944171,46.1419417
"DORNAVA",15.952954,46.4356499
"DRAVI",15.6923033,46.5371471
"DRAVOGRAD",15.0246021,46.589219
"DUPLEK",15.7546307,46.5010016
"GORENJA-VAS-POLJANE",14.1149347,46.1116582
"GORIŠNICA",16.0133089,46.4120271
"GORJE",13.9761947,46.1508803
"GORNJA-RADGONA",15.9910846,46.6767099
"GORNJI-GRAD",14.8062347,46.2961712
"GORNJI-PETROVCI",16.2180722,46.8047535
"GRAD",16.0924382,46.801689
"GROSUPLJE",14.658899,45.9557645
"HAJDINA",15.8244722,46.4185014
"HODOŠ",16.321068,46.8314134
"HORJUL",14.2986269,46.0225378
"HOČE-SLIVNICA",15.6476005,46.477858
"HRASTNIK",15.0844894,46.1417288
"HRPELJE-KOZINA",13.9379148,45.6091192
"IDRIJA",14.0278459,46.0029454
"IG",14.5282718,45.9588213
"ILIRSKA-BISTRICA",14.2418616,45.570099
"IVANČNA-GORICA",14.8047626,45.9395841
"IZOLA",13.6600802,45.5374048
"JESENICE",14.0526057,46.4367047
"JEZERSKO",14.4985559,46.3942794
"JURŠINCI",15.9714564,46.4850899
"KAMNIK",14.6072968,46.2221964
"KANAL",13.634308,46.0853803
"KIDRIČEVO",15.7947234,46.4050135
"KOBARID",13.5791749,46.2476549
"KOBILJE",16.3936719,46.68518
"KOMEN",13.7482711,45.8175235
"KOMENDA",14.5391653,46.2052815
"KOPER",13.7301877,45.548059
"KOSTANJEVICA-NA-KRKI",15.4217164,45.8449724
"KOSTEL",14.9087946,45.5083472
"KOZJE",15.5364025,46.0889077
"KOČEVJE",14.8633128,45.6409009
"KRANJ",14.3555417,46.2428344
"KRANJSKA-GORA",13.7857145,46.4845293
"KRIŽEVCI",16.2348194,46.7923997
"KRŠKO",15.4921312,45.9589978
"KUNGOTA",15.6036288,46.6418793
"KUZMA",16.08071,46.8351038
"LAŠKO",15.2359978,46.1542793
"LENART",15.8637359,46.5954161
"LENDAVA",16.453063,46.5644783
"LITIJA",14.8266015,46.0592305
"LJUBLJANA",14.5057515,46.0569465
"LJUBNO",14.5,46.2
"LJUTOMER",16.197814,46.5193583
"LOG-DRAGOMER",14.3687767,46.0178747
"LOGATEC",14.2285582,45.9170819
"LOVRENC-NA-POHORJU",15.3884817,46.5402775
"LOŠKA-DOLINA",14.4973147,45.6477908
"LOŠKI-POTOK",14.5985971,45.6909637
"LUKOVICA",14.6907259,46.1696293
"LUČE",14.7458015,46.3548721
"MAJŠPERK",15.7340595,46.3503019
"MAKOLE",15.6670441,46.3173644
"MARIBOR",15.6458812,46.5546503
"MARKOVCI",16.2349557,46.8428456
"MEDVODE",14.411347,46.1413926
"MENGEŠ",14.5719694,46.1659122
"METLIKA",15.3176752,45.6473994
"MEŽICA",14.8523952,46.5214145
"MIKLAVŽ-NA-DRAVSKEM-POLJU",15.6952065,46.5082628
"MIREN-KOSTANJEVICA",13.6276647,45.8436029
"MIRNA",15.0624449,45.9513076
"MIRNA-PEČ",15.0830457,45.8594478
"MISLINJA",15.1985947,46.4439734
"MOKRONOG-TREBELNO",15.1596736,45.9088529
"MORAVSKE-TOPLICE",16.2224582,46.6856932
"MORAVČE",14.7444352,46.1357218
"MOZIRJE",14.9599807,46.3392772
"MURSKA-SOBOTA",16.1610293,46.6581381
"MUTA",15.1629994,46.6097366
"NAKLO",14.3156932,46.2718663
"NAZARJE",14.9470385,46.3179494
"NOVA-GORICA",13.6493044,45.9549755
"NOVO-MESTO",15.1710089,45.8010824
"ODRANCI",16.2762351,46.5847279
"OPLOTNICA",15.4458131,46.387163
"ORMOŽ",16.1508154,46.4086282
"OSILNICA",14.6984205,45.5291637
"PESNICA",15.5543464,46.6373877
"PIRAN",13.5682895,45.528319
"PIVKA",14.1960582,45.6825301
"PODLEHNIK",15.8787245,46.3358974
"PODVELKA",15.3310343,46.5903517
"PODČETRTEK",15.5975783,46.1559752
"POLJČANE",15.5784672,46.3141609
"POLZELA",15.0737321,46.280897
"POSTOJNA",14.2133245,45.7749704
"PREBOLD",15.091648,46.2365972
"PREDDVOR",14.4216753,46.3017155
"PREVALJE",14.9197479,46.5468788
"PTUJ",15.8696884,46.4199535
"PUCONCI",16.1572755,46.7046395
"RADENCI",16.0402676,46.6439196
"RADEČE",15.1821191,46.0655001
"RADLJE-OB-DRAVI",15.2255472,46.614358
"RADOVLJICA",14.1740042,46.3437361
"RAVNE-NA-KOROŠKEM",14.9660445,46.5448323
"RAZKRIŽJE",16.27627,46.5246331
"RAČE-FRAM",15.677368,46.4342985
"RENČE-VOGRSKO",13.6785673,45.8954617
"REČICA",14.2255501,45.5730723
"REČICA-OB-SAVINJI",14.9223557,46.323974
"RIBNICA",14.7265782,45.7400303
"RIBNICA-NA-POHORJU",15.2675136,46.5356403
"ROGATEC",15.7000313,46.2258891
"ROGAŠKA-SLATINA",15.6378802,46.2331941
"ROGAŠOVCI",16.0345237,46.8055785
"RUŠE",15.5073987,46.5399962
"SALOVCI",16.2881649,46.8235919
"SELNICA-OB",15.6926594,46.6836246
"SELNICA-OB-DRAVI",15.492941,46.5513918
"SEMIČ",15.1820701,45.6520534
"SENČUR",14.4192223,46.2433699
"SEVNICA",15.2979868,46.0129508
"SEŽANA",13.8738185,45.7093519
"SLOVENJ-GRADEC",15.0768162,46.5075851
"SLOVENSKA-BISTRICA",15.5727868,46.3919813
"SLOVENSKE-KONJICE",15.4214708,46.3369191
"SODRAŽICA",14.6362158,45.762125
"SOLČAVA",14.6917325,46.4200935
"SREDIŠČE-OB-DRAVI",16.2704915,46.3959282
"STARŠE",15.7640547,46.4674331
"STRAŽA",15.0738766,45.7830522
"SUNČUR",14.4192223,46.2433699
"SVETA-ANA",15.845278,46.65
"SVETA-TROJICA-V-SLOVENSKIH-GORICAH",15.8823064,46.5680809
"SVETI-ANDRAŽ-V-SLOVENSKIH-GORICAH",15.9498262,46.5189747
"SVETI-JURIJ-OB-ŠČAVNICI",16.0222528,46.5687452
"SVETI-JURIJ-V-SLOVENSKIH-GORICAH",15.7804677,46.6170791
"SVETI-TOMAŽ",16.0801157,46.4835846
"TABOR",15.0167331,46.2346683
"TIŠINA",16.0834627,46.6511382
"TOLMIN",13.7319838,46.1857188
"TRBOVLJE",15.0453138,46.1503563
"TREBNJE",15.0125985,45.9081708
"TRNOVSKA-VAS",15.8866431,46.5201168
"TRST",13.7833072,45.6894823
"TRZIN",14.56125,46.1314634
"TRŽIČ",14.3083372,46.3621517
"TURNIŠČE",16.3144961,46.625456
"VELENJE",15.1106582,46.3622743
"VELIKA-POLANA",16.3444126,46.5731715
"VELIKE-LAŠČE",14.6362363,45.8336591
"VERŽEJ",16.1640173,46.5832778
"VIDEM",14.6947037,45.8490426
"VIPAVA",13.9625431,45.8455744
"VITANJE",15.2950333,46.3815074
"VODICE",14.493854,46.1896643
"VOJNIK",15.302058,46.2920581
"VRANSKO",14.9511982,46.2444682
"VRHNIKA",14.2973873,45.966583
"VUZENICA",15.1657237,46.5980836
"ZAGORJE-OB-SAVI",14.9945975,46.1345186
"ZAVRČ",16.0470768,46.3856393
"ZREČE",15.3918526,46.3696591
"ČRENŠOVCI",16.2877346,46.5720029
"ČRNA",14.841631,46.466406
"ČRNA-NA-KOROŠKEM",14.8498787,46.4703983
"ČRNOMELJ",15.1930773,45.5714837
"ŠALOVCI",16.2881649,46.8235919
"ŠEMPETER-VRTOJBA",13.6415594,45.9290095
"ŠENTILJ",15.7103566,46.6862839
"ŠENTJERNEJ",15.3378312,45.843413
"ŠENTJUR",15.3945807,46.2157774
"ŠENTRUPERT",15.0909889,45.9769612
"ŠENČUR",14.4192223,46.2433699
"ŠKOCJAN",15.292258,45.9072257
"ŠKOFJA-LOKA",14.3058337,46.1671294
"ŠKOFLJICA",14.5721903,45.9859651
"ŠMARJE-PRI-JELŠAH",15.5190353,46.2287025
"ŠMARJEŠKE-TOPLICE",15.2347422,45.8680377
"ŠMARTNO-OB-PAKI",15.0333937,46.3290372
"ŠMARTNO-PRI-LITIJI",14.8410058,46.0457437
"ŠOŠTANJ",15.0461378,46.3782836
"ŠTORE",15.3154297,46.2205619
"ŽALEC",15.1650282,46.251984
"ŽELEZNIKI",14.1692478,46.22544
"ŽETALE",15.8122225,46.2784002
"ŽIRI",14.111887,46.0513094
"ŽIROVNICA",14.1375549,46.4044239
"ŽUŽEMBERK",14.9298228,45.830669
